Disease,Description
(vertigo) Paroymsal  Positional Vertigo (Acute),"A specific variant of . Requires medical attention."
(vertigo) Paroymsal  Positional Vertigo (Chronic),"A specific variant of . Requires medical attention."
(vertigo) Paroymsal  Positional Vertigo (Mild),"A specific variant of . Requires medical attention."
(vertigo) Paroymsal  Positional Vertigo (Severe),"A specific variant of . Requires medical attention."
(vertigo) Paroymsal  Positional Vertigo (Stage 1),"A specific variant of . Requires medical attention."
(vertigo) Paroymsal  Positional Vertigo,"Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness."
AIDS (Acute),"A specific variant of AIDS. Requires medical attention."
AIDS (Chronic),"A specific variant of AIDS. Requires medical attention."
AIDS (Mild),"A specific variant of AIDS. Requires medical attention."
AIDS (Severe),"A specific variant of AIDS. Requires medical attention."
AIDS (Stage 1),"A specific variant of AIDS. Requires medical attention."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
Acne (Acute),"A specific variant of Acne. Requires medical attention."
Acne (Chronic),"A specific variant of Acne. Requires medical attention."
Acne (Mild),"A specific variant of Acne. Requires medical attention."
Acne (Severe),"A specific variant of Acne. Requires medical attention."
Acne (Stage 1),"A specific variant of Acne. Requires medical attention."
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
Alcoholic hepatitis (Acute),"A specific variant of Alcoholic hepatitis. Requires medical attention."
Alcoholic hepatitis (Chronic),"A specific variant of Alcoholic hepatitis. Requires medical attention."
Alcoholic hepatitis (Mild),"A specific variant of Alcoholic hepatitis. Requires medical attention."
Alcoholic hepatitis (Severe),"A specific variant of Alcoholic hepatitis. Requires medical attention."
Alcoholic hepatitis (Stage 1),"A specific variant of Alcoholic hepatitis. Requires medical attention."
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
Allergy (Acute),"A specific variant of Allergy. Requires medical attention."
Allergy (Chronic),"A specific variant of Allergy. Requires medical attention."
