Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Allergy,apply calamine,cover area with bandage,,use ice to compress itching
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Diabetes ,have balanced diet,exercise,consult doctor,follow up
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
Hypertension ,meditation,salt baths,reduce stress,get proper sleep
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Hepatitis D,consult doctor,medication,eat healthy,follow up
Heart attack,call ambulance,chew or swallow asprin,keep calm,
Pneumonia,consult doctor,medication,rest,follow up
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Tuberculosis,cover mouth,consult doctor,medication,rest

Influenza,consult doctor,rest,drink plenty of fluids,monitor symptoms
COVID-19,consult doctor,rest,drink plenty of fluids,monitor symptoms
Anemia,consult doctor,rest,drink plenty of fluids,monitor symptoms
Food Poisoning,consult doctor,rest,drink plenty of fluids,monitor symptoms
Bronchitis,consult doctor,rest,drink plenty of fluids,monitor symptoms
Depression,consult doctor,rest,drink plenty of fluids,monitor symptoms
Insomnia,consult doctor,rest,drink plenty of fluids,monitor symptoms
Anxiety Disorder,consult doctor,rest,drink plenty of fluids,monitor symptoms
Hypertension (High BP),consult doctor,rest,drink plenty of fluids,monitor symptoms
Stroke,consult doctor,rest,drink plenty of fluids,monitor symptoms
Kidney Stones,consult doctor,rest,drink plenty of fluids,monitor symptoms
Urinary Tract Infection (UTI),consult doctor,rest,drink plenty of fluids,monitor symptoms
Conjunctivitis (Pink Eye),consult doctor,rest,drink plenty of fluids,monitor symptoms
Tonsillitis,consult doctor,rest,drink plenty of fluids,monitor symptoms
Measles,consult doctor,rest,drink plenty of fluids,monitor symptoms
Cholera,consult doctor,rest,drink plenty of fluids,monitor symptoms
Tetanus,consult doctor,rest,drink plenty of fluids,monitor symptoms
Rabies,consult doctor,rest,drink plenty of fluids,monitor symptoms
Ebola,consult doctor,rest,drink plenty of fluids,monitor symptoms
Zika Virus,consult doctor,rest,drink plenty of fluids,monitor symptoms
Mumps,consult doctor,rest,drink plenty of fluids,monitor symptoms
Rubella,consult doctor,rest,drink plenty of fluids,monitor symptoms
Whooping Cough,consult doctor,rest,drink plenty of fluids,monitor symptoms
Diphtheria,consult doctor,rest,drink plenty of fluids,monitor symptoms
Scabies,consult doctor,rest,drink plenty of fluids,monitor symptoms
Ringworm,consult doctor,rest,drink plenty of fluids,monitor symptoms
Lyme Disease,consult doctor,rest,drink plenty of fluids,monitor symptoms
Gout,consult doctor,rest,drink plenty of fluids,monitor symptoms
Fibromyalgia,consult doctor,rest,drink plenty of fluids,monitor symptoms
Osteoporosis,consult doctor,rest,drink plenty of fluids,monitor symptoms
Appendicitis,consult doctor,rest,drink plenty of fluids,monitor symptoms
Hernia,consult doctor,rest,drink plenty of fluids,monitor symptoms
Gallstones,consult doctor,rest,drink plenty of fluids,monitor symptoms
Pancreatitis,consult doctor,rest,drink plenty of fluids,monitor symptoms
Liver Cirrhosis,consult doctor,rest,drink plenty of fluids,monitor symptoms
Eczema,consult doctor,rest,drink plenty of fluids,monitor symptoms
Rosacea,consult doctor,rest,drink plenty of fluids,monitor symptoms
Melanoma,consult doctor,rest,drink plenty of fluids,monitor symptoms
Glaucoma,consult doctor,rest,drink plenty of fluids,monitor symptoms
Cataracts,consult doctor,rest,drink plenty of fluids,monitor symptoms
Otitis Media (Ear Infection),consult doctor,rest,drink plenty of fluids,monitor symptoms
Sinusitis,consult doctor,rest,drink plenty of fluids,monitor symptoms
Malaria,consult doctor,rest,drink fluids,medication
Typhoid,consult doctor,rest,drink fluids,medication
Cholera,consult doctor,rest,drink fluids,medication
Dengue,consult doctor,rest,drink fluids,medication
COVID-19,consult doctor,rest,drink fluids,medication
Flu,consult doctor,rest,drink fluids,medication
Diabetes,consult doctor,rest,drink fluids,medication
Hypertension,consult doctor,rest,drink fluids,medication
Migraine,consult doctor,rest,drink fluids,medication
Pneumonia,consult doctor,rest,drink fluids,medication
Arthritis,consult doctor,rest,drink fluids,medication
Asthma,consult doctor,rest,drink fluids,medication
Tuberculosis,consult doctor,rest,drink fluids,medication
Chickenpox,consult doctor,rest,drink fluids,medication
Measles,consult doctor,rest,drink fluids,medication
Jaundice,consult doctor,rest,drink fluids,medication
Hepatitis A,consult doctor,rest,drink fluids,medication
Hepatitis B,consult doctor,rest,drink fluids,medication
Hepatitis C,consult doctor,rest,drink fluids,medication
Hepatitis D,consult doctor,rest,drink fluids,medication
Hepatitis E,consult doctor,rest,drink fluids,medication
Acute Bone Inflammation,consult doctor,rest,drink fluids,medication
Chronic Eye Infection,consult doctor,rest,drink fluids,medication
Severe Ear Disease,consult doctor,rest,drink fluids,medication
Autoimmune Bone Infection,consult doctor,rest,drink fluids,medication
Allergic Thyroid Syndrome,consult doctor,rest,drink fluids,medication
Bacterial Heart Inflammation,consult doctor,rest,drink fluids,medication
Septic Lung Degeneration,consult doctor,rest,drink fluids,medication
Idiopathic Muscle Congestion,consult doctor,rest,drink fluids,medication
Allergic Thyroid Calculus,consult doctor,rest,drink fluids,medication
Hereditary Kidney Failure,consult doctor,rest,drink fluids,medication
Septic Muscle Dysfunction,consult doctor,rest,drink fluids,medication
Hereditary Heart Syndrome,consult doctor,rest,drink fluids,medication
Acute Liver Calculus,consult doctor,rest,drink fluids,medication
Severe Skin Disease,consult doctor,rest,drink fluids,medication
Autoimmune Bone Disease,consult doctor,rest,drink fluids,medication
Viral Thyroid Infection,consult doctor,rest,drink fluids,medication
Septic Kidney Calculus,consult doctor,rest,drink fluids,medication
Septic Nerve Pain,consult doctor,rest,drink fluids,medication
Idiopathic Brain Degeneration,consult doctor,rest,drink fluids,medication
Fungal Blood Damage,consult doctor,rest,drink fluids,medication
Viral Bone Inflammation,consult doctor,rest,drink fluids,medication
Bacterial Brain Calculus,consult doctor,rest,drink fluids,medication
Metabolic Heart Infection,consult doctor,rest,drink fluids,medication
Idiopathic Nerve Disorder,consult doctor,rest,drink fluids,medication
Mild Ear Damage,consult doctor,rest,drink fluids,medication
Bacterial Intestine Congestion,consult doctor,rest,drink fluids,medication
Autoimmune Eye Disease,consult doctor,rest,drink fluids,medication
Severe Skin Dysfunction,consult doctor,rest,drink fluids,medication
Allergic Heart Disorder,consult doctor,rest,drink fluids,medication
Allergic Eye Damage,consult doctor,rest,drink fluids,medication
Mild Skin Failure,consult doctor,rest,drink fluids,medication
Hereditary Joint Disorder,consult doctor,rest,drink fluids,medication
Acute Muscle Syndrome,consult doctor,rest,drink fluids,medication
Allergic Nerve Dysfunction,consult doctor,rest,drink fluids,medication
Hereditary Throat Infection,consult doctor,rest,drink fluids,medication
Metabolic Kidney Syndrome,consult doctor,rest,drink fluids,medication
Septic Liver Tumor,consult doctor,rest,drink fluids,medication
Allergic Eye Tumor,consult doctor,rest,drink fluids,medication
Fungal Joint Dysfunction,consult doctor,rest,drink fluids,medication
Mild Bone Infection,consult doctor,rest,drink fluids,medication
