Disease,Description
(vertigo) Paroymsal  Positional Vertigo (Acute),का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
(vertigo) Paroymsal  Positional Vertigo (Chronic),का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
(vertigo) Paroymsal  Positional Vertigo (Mild),का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
(vertigo) Paroymsal  Positional Vertigo (Severe),का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
(vertigo) Paroymsal  Positional Vertigo (Stage 1),का एक विशिष्ट प्रकार. चिकित्सा देखभाल की आवश्यकता है.
(vertigo) Paroymsal  Positional Vertigo,बेनाइन पैरॉक्सिस्मल पोजिशनल वर्टिगो (बीपीपीवी) वर्टिगो के सबसे आम कारणों में से एक है - अचानक महसूस होना कि आप घूम रहे हैं या आपके सिर का अंदरूनी हिस्सा घूम रहा है। सौम्य पैरॉक्सिस्मल पोजिशनल वर्टिगो के कारण हल्के से तीव्र चक्कर के संक्षिप्त एपिसोड होते हैं।
AIDS (Acute),एड्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
AIDS (Chronic),एड्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
AIDS (Mild),एड्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
AIDS (Severe),एड्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
AIDS (Stage 1),एड्स का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
AIDS,"एक्वायर्ड इम्युनोडेफिशिएंसी सिंड्रोम (एड्स) मानव इम्युनोडेफिशिएंसी वायरस (एचआईवी) के कारण होने वाली एक दीर्घकालिक, संभावित जीवन-घातक स्थिति है। आपकी प्रतिरक्षा प्रणाली को नुकसान पहुंचाकर, एचआईवी आपके शरीर की संक्रमण और बीमारी से लड़ने की क्षमता में हस्तक्षेप करता है।"
Acne (Acute),मुँहासे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Acne (Chronic),मुँहासे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Acne (Mild),मुँहासे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Acne (Severe),मुँहासे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Acne (Stage 1),मुँहासे का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
Acne,"मुँहासे वुल्गारिस पाइलोसेबेसियस इकाइयों (बालों के रोम और उनके साथ वसामय ग्रंथि) की रुकावट और सूजन के परिणामस्वरूप कॉमेडोन, पपल्स, पुस्ट्यूल, नोड्यूल और/या सिस्ट का निर्माण होता है। चेहरे और ऊपरी धड़ पर मुँहासे विकसित हो जाते हैं। यह अक्सर किशोरों को प्रभावित करता है।"
Alcoholic hepatitis (Acute),अल्कोहलिक हेपेटाइटिस का एक विशिष्ट प्रकार। चिकित्सा देखभाल की आवश्यकता है.
