Disease,Description
(vertigo) Paroymsal  Positional Vertigo (Acute),ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
(vertigo) Paroymsal  Positional Vertigo (Chronic),ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
(vertigo) Paroymsal  Positional Vertigo (Mild),ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
(vertigo) Paroymsal  Positional Vertigo (Severe),ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
(vertigo) Paroymsal  Positional Vertigo (Stage 1),ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
(vertigo) Paroymsal  Positional Vertigo,ବେନିନ୍ ପାରୋକ୍ସାଇସମାଲ୍ ପୋଜିସନାଲ୍ ଭର୍ଟିଗୋ (BPPV) ହେଉଛି ଭର୍ଟିଗୋର ଅନ୍ୟତମ ସାଧାରଣ କାରଣ - ହଠାତ୍ ଅନୁଭବ ହେଉଛି ଯେ ଆପଣ ବୁଲୁଛନ୍ତି କିମ୍ବା ଆପଣଙ୍କ ମୁଣ୍ଡର ଭିତର ଅଂଶ ବୁଲୁଛି | ବେନିନ୍ ପାରୋକ୍ସାଇସମାଲ୍ ପୋଜିସନାଲ୍ ଭର୍ଟିଗୋ ସାମାନ୍ୟରୁ ତୀବ୍ର ମୁଣ୍ଡ ବୁଲାଇବା ପାଇଁ ସଂକ୍ଷିପ୍ତ ଏପିସୋଡ୍ ସୃଷ୍ଟି କରେ |
AIDS (Acute),ଏଡସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
AIDS (Chronic),ଏଡସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
AIDS (Mild),ଏଡସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
AIDS (Severe),ଏଡସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
