Disease,Description
(vertigo) Paroymsal  Positional Vertigo (Acute),ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
(vertigo) Paroymsal  Positional Vertigo (Chronic),ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
(vertigo) Paroymsal  Positional Vertigo (Mild),ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
(vertigo) Paroymsal  Positional Vertigo (Severe),ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
(vertigo) Paroymsal  Positional Vertigo (Stage 1),ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
(vertigo) Paroymsal  Positional Vertigo,தீங்கற்ற பராக்ஸிஸ்மல் பொசிஷனல் வெர்டிகோ (BPPV) என்பது வெர்டிகோவின் பொதுவான காரணங்களில் ஒன்றாகும் - நீங்கள் சுழல்வது அல்லது உங்கள் தலையின் உட்புறம் சுழல்வது போன்ற திடீர் உணர்வு. தீங்கற்ற பராக்ஸிஸ்மல் நிலை வெர்டிகோ லேசானது முதல் தீவிரமான தலைச்சுற்றலின் சுருக்கமான அத்தியாயங்களை ஏற்படுத்துகிறது.
AIDS (Acute),எய்ட்ஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
AIDS (Chronic),எய்ட்ஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
AIDS (Mild),எய்ட்ஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
AIDS (Severe),எய்ட்ஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
AIDS (Stage 1),எய்ட்ஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
AIDS,"பெறப்பட்ட நோயெதிர்ப்பு குறைபாடு நோய்க்குறி (எய்ட்ஸ்) என்பது மனித நோயெதிர்ப்பு குறைபாடு வைரஸ் (எச்.ஐ.வி) காரணமாக ஏற்படும் நாள்பட்ட, உயிருக்கு ஆபத்தான நிலை. உங்கள் நோயெதிர்ப்பு மண்டலத்தை சேதப்படுத்துவதன் மூலம், எச்.ஐ.வி தொற்று மற்றும் நோயை எதிர்த்துப் போராடும் உங்கள் உடலின் திறனில் தலையிடுகிறது."
Acne (Acute),முகப்பருவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
