Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Malaria,नजदीकी अस्पताल से परामर्श लें,तैलीय भोजन से बचें,मांसाहारी भोजन से बचें,मच्छरों को बाहर रखें
Allergy,कैलामाइन लगाएं,क्षेत्र को पट्टी से ढकें,में,खुजली को दबाने के लिए बर्फ का प्रयोग करें
Hypothyroidism,तनाव को कम करें,व्यायाम,स्वस्थ खाएं,उचित नींद लें
Psoriasis,गर्म साबुन वाले पानी से हाथ धोएं,दबाव डालकर रक्तस्राव रोकें,डॉक्टर से सलाह लें,नमक स्नान
GERD,वसायुक्त मसालेदार भोजन से बचें,खाने के बाद लेटने से बचें,स्वस्थ वजन बनाए रखें,व्यायाम
Chronic cholestasis,ठंडा स्नान,खुजली रोधी दवा,डॉक्टर से सलाह लें,स्वस्थ खाएं
hepatitis A,नजदीकी अस्पताल से परामर्श लें,हाथ धोएं,वसायुक्त मसालेदार भोजन से बचें,दवाई
Osteoarthristis,एसिटामिनोफ़ेन,निकटतम अस्पताल से परामर्श लें,पालन ​​करें,नमक स्नान
(vertigo) Paroymsal  Positional Vertigo,लेट जाओ,शरीर में अचानक परिवर्तन से बचें,अचानक सिर हिलाने से बचें,आराम करना
Hypoglycemia,करवट लेकर लेट जाओ,नाड़ी जांचें,मीठा पेय पियें,डॉक्टर से सलाह लें
Acne,दो बार स्नान करें,वसायुक्त मसालेदार भोजन से बचें,खूब सारा पानी पीओ,बहुत सारे उत्पादों से बचें
Diabetes ,संतुलित आहार लें,व्यायाम,डॉक्टर से सलाह लें,पालन ​​करें
Impetigo,प्रभावित क्षेत्र को गर्म पानी में भिगोएँ,एंटीबायोटिक्स का प्रयोग करें,गीले संपीड़ित कपड़े से पपड़ी हटाएँ,डॉक्टर से सलाह लें
Hypertension ,ध्यान,नमक स्नान,तनाव को कम करें,उचित नींद लें
Peptic ulcer diseae,वसायुक्त मसालेदार भोजन से बचें,प्रोबायोटिक भोजन का सेवन करें,दूध खत्म करो,शराब सीमित करें
Dimorphic hemmorhoids(piles),वसायुक्त मसालेदार भोजन से बचें,विच हेज़ल का सेवन करें,एप्सम नमक के साथ गर्म स्नान,एलोवेरा जूस का सेवन करें
Common Cold,विटामिन सी युक्त पेय पियें,वाष्प लो,ठंडे भोजन से बचें,बुखार को नियंत्रण में रखें
Chicken pox,नहाने में नीम का प्रयोग करें,नीम की पत्तियों का सेवन करें,टीका लें,सार्वजनिक स्थानों से बचें
Cervical spondylosis,हीटिंग पैड या कोल्ड पैक का उपयोग करें,व्यायाम,ओटीसी दर्दनिवारक लें,डॉक्टर से सलाह लें
Hyperthyroidism,स्वस्थ खाएं,मालिश,नींबू बाम का प्रयोग करें,रेडियोधर्मी आयोडीन उपचार लें
Urinary tract infection,खूब सारा पानी पीओ,विटामिन सी का सेवन बढ़ाएं,क्रैनबेरी जूस पिएं,प्रोबायोटिक्स लें
Varicose veins,सीधे लेट जाएं और पैर को ऊंचा उठाएं,मलहम का प्रयोग करें,नस संपीड़न का प्रयोग करें,ज्यादा देर तक खड़े न रहें
AIDS,खुले कट से बचें,यदि संभव हो तो पीपीई पहनें,डॉक्टर से सलाह लें,पालन ​​करें
Paralysis (brain hemorrhage),मालिश,स्वस्थ खाएं,व्यायाम,डॉक्टर से सलाह लें
Typhoid,उच्च कैलोरी वाली सब्जियाँ खायें,एंटीबायोटिक चिकित्सा,डॉक्टर से सलाह लें,दवाई
Hepatitis B,निकटतम अस्पताल से परामर्श लें,टीकाकरण,स्वस्थ खाएं,दवाई
Fungal infection,दो बार स्नान करें,नहाने के पानी में डिटोल या नीम का प्रयोग करें,संक्रमित क्षेत्र को सूखा रखें,साफ कपड़े का प्रयोग करें
Hepatitis C,नजदीकी अस्पताल से परामर्श लें,टीकाकरण,स्वस्थ खाएं,दवाई
Migraine,ध्यान,तनाव को कम करें,धूप में पोलोरॉयड चश्मे का प्रयोग करें,डॉक्टर से सलाह लें
Bronchial Asthma,ढीले कपड़ों पर स्विच करें,गहरी सांसें लो,ट्रिगर से दूर हो जाओ,सहायता मांगे
Alcoholic hepatitis,शराब का सेवन बंद करें,डॉक्टर से सलाह लें,दवाई,पालन ​​करें
Jaundice,खूब सारा पानी पीओ,दूध थीस्ल का सेवन करें,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,दवाई
Hepatitis E,शराब का सेवन बंद करें,आराम,डॉक्टर से सलाह लें,दवाई
