Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Malaria,ନିକଟସ୍ଥ ଡାକ୍ତରଖାନା ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ତେଲିଆ ଖାଦ୍ୟରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ଅଣ ଭେଜ୍ ଖାଦ୍ୟରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ମଶାମାନଙ୍କୁ ଦୂରେଇ ରଖନ୍ତୁ |
Allergy,କ୍ୟାଲାମାଇନ୍ ପ୍ରୟୋଗ କରନ୍ତୁ |,ବ୍ୟାଣ୍ଡେଜ୍ ସହିତ କଭର୍ ଏରିଆ |,ଭିତରେ,କୁଞ୍ଚିକୁ ସଙ୍କୋଚନ କରିବା ପାଇଁ ବରଫ ବ୍ୟବହାର କରନ୍ତୁ |
Hypothyroidism,ଚାପ ହ୍ରାସ କରନ୍ତୁ |,ବ୍ୟାୟାମ,ସୁସ୍ଥ ଖାଆନ୍ତୁ |,ଉପଯୁକ୍ତ ଶୋଇବା
Psoriasis,ଗରମ ସାବୁନ ପାଣିରେ ହାତ ଧୋଇ ଦିଅନ୍ତୁ |,ଚାପ ବ୍ୟବହାର କରି ରକ୍ତସ୍ରାବ ବନ୍ଦ କରନ୍ତୁ |,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ଲୁଣ ସ୍ନାନ |
GERD,ଚର୍ବିଯୁକ୍ତ ମସଲାଯୁକ୍ତ ଖାଦ୍ୟରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ଖାଇବା ପରେ ଶୋଇବା ଠାରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ସୁସ୍ଥ ଓଜନ ବଜାୟ ରଖନ୍ତୁ |,ବ୍ୟାୟାମ
Chronic cholestasis,ଥଣ୍ଡା ସ୍ନାନ |,ଆଣ୍ଟି ଇଞ୍ଚ medicine ଷଧ |,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ସୁସ୍ଥ ଖାଆନ୍ତୁ |
hepatitis A,ନିକଟସ୍ଥ ଡାକ୍ତରଖାନା ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ହାତ ଧୋଇ ଦିଅ |,ଚର୍ବିଯୁକ୍ତ ମସଲାଯୁକ୍ତ ଖାଦ୍ୟରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ication ଷଧ
Osteoarthristis,ଏସିଟାମିନୋଫେନ୍ |,ନିକଟସ୍ଥ ଡାକ୍ତରଖାନା ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ଅନୁସରଣ କର,ଲୁଣ ସ୍ନାନ |
(vertigo) Paroymsal  Positional Vertigo,ଶଯନ କର,ଶରୀରରେ ହଠାତ୍ ପରିବର୍ତ୍ତନକୁ ଏଡାନ୍ତୁ |,ଆକସ୍ମିକ ମୁଣ୍ଡ ଚଳନରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ଆରାମ କର
Hypoglycemia,ପାର୍ଶ୍ୱରେ ଶଯନ କର,ନାଡିରେ ଯାଞ୍ଚ କରନ୍ତୁ |,ଶର୍କରା ପାନୀୟ ପିଅନ୍ତୁ |,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |
