Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Malaria,அருகில் உள்ள மருத்துவமனையை அணுகவும்,எண்ணெய் உணவை தவிர்க்கவும்,அசைவ உணவை தவிர்க்கவும்,கொசுக்கள் வராமல் இருக்க
Allergy,கலமைனைப் பயன்படுத்துங்கள்,பகுதியை கட்டு கொண்டு மூடவும்,உள்ளே,அரிப்புகளை சுருக்க ஐஸ் பயன்படுத்தவும்
Hypothyroidism,மன அழுத்தத்தை குறைக்க,உடற்பயிற்சி,ஆரோக்கியமாக சாப்பிடுங்கள்,சரியான தூக்கம் கிடைக்கும்
Psoriasis,சூடான சோப்பு நீரில் கைகளை கழுவவும்,அழுத்தத்தைப் பயன்படுத்தி இரத்தப்போக்கு நிறுத்தவும்,மருத்துவரை அணுகவும்,உப்பு குளியல்
GERD,கொழுப்பு காரமான உணவை தவிர்க்கவும்,சாப்பிட்ட பிறகு படுப்பதை தவிர்க்கவும்,ஆரோக்கியமான எடையை பராமரிக்க,உடற்பயிற்சி
Chronic cholestasis,குளிர் குளியல்,அரிப்பு எதிர்ப்பு மருந்து,மருத்துவரை அணுகவும்,ஆரோக்கியமாக சாப்பிடுங்கள்
hepatitis A,அருகில் உள்ள மருத்துவமனையை அணுகவும்,மூலம் கைகளை கழுவவும்,கொழுப்பு காரமான உணவை தவிர்க்கவும்,மருந்து
Osteoarthristis,அசிடமினோபன்,அருகில் உள்ள மருத்துவமனையை அணுகவும்,பின்தொடரவும்,உப்பு குளியல்
(vertigo) Paroymsal  Positional Vertigo,படுத்துக்கொள்,உடலில் திடீர் மாற்றங்களை தவிர்க்கவும்,திடீர் தலை அசைவைத் தவிர்க்கவும்,ஓய்வெடுக்க
Hypoglycemia,பக்கத்தில் படுத்துக்கொள்,துடிப்பை சரிபார்க்கவும்,சர்க்கரை பானங்கள் குடிக்கவும்,மருத்துவரை அணுகவும்
Acne,இரண்டு முறை குளியல்,கொழுப்பு காரமான உணவை தவிர்க்கவும்,நிறைய தண்ணீர் குடிக்கவும்,பல தயாரிப்புகளை தவிர்க்கவும்
Diabetes ,சரிவிகித உணவு வேண்டும்,உடற்பயிற்சி,மருத்துவரை அணுகவும்,பின்தொடரவும்
Impetigo,பாதிக்கப்பட்ட பகுதியை வெதுவெதுப்பான நீரில் ஊற வைக்கவும்,நுண்ணுயிர் எதிர்ப்பிகளைப் பயன்படுத்துங்கள்,ஈரமான சுருக்கப்பட்ட துணியால் சிரங்குகளை அகற்றவும்,மருத்துவரை அணுகவும்
Hypertension ,தியானம்,உப்பு குளியல்,மன அழுத்தத்தை குறைக்க,சரியான தூக்கம் கிடைக்கும்
Peptic ulcer diseae,கொழுப்பு காரமான உணவை தவிர்க்கவும்,புரோபயாடிக் உணவை உட்கொள்ளுங்கள்,பாலை நீக்கவும்,மது வரம்பு
Dimorphic hemmorhoids(piles),கொழுப்பு காரமான உணவை தவிர்க்கவும்,விட்ச் ஹேசல் சாப்பிடுங்கள்,எப்சம் உப்புடன் சூடான குளியல்,அலோவேரா சாறு சாப்பிடுங்கள்
Common Cold,வைட்டமின் சி நிறைந்த பானங்கள் குடிக்கவும்,நீராவி எடுக்க,குளிர் உணவை தவிர்க்கவும்,காய்ச்சலை கட்டுக்குள் வைத்திருங்கள்
Chicken pox,குளிப்பதற்கு வேம்பு பயன்படுத்தவும்,வேப்ப இலைகளை உட்கொள்ளுங்கள்,தடுப்பூசி எடுக்க,பொது இடங்களை தவிர்க்கவும்
Cervical spondylosis,வெப்பமூட்டும் திண்டு அல்லது குளிர் பேக் பயன்படுத்தவும்,உடற்பயிற்சி,OTC வலி நிவாரணி எடுத்துக் கொள்ளுங்கள்,மருத்துவரை அணுகவும்
Hyperthyroidism,ஆரோக்கியமாக சாப்பிடுங்கள்,மசாஜ்,எலுமிச்சை தைலம் பயன்படுத்தவும்,கதிரியக்க அயோடின் சிகிச்சையை எடுத்துக் கொள்ளுங்கள்
Urinary tract infection,நிறைய தண்ணீர் குடிக்கவும்,வைட்டமின் சி உட்கொள்ளலை அதிகரிக்கவும்,குருதிநெல்லி சாறு குடிக்கவும்,புரோபயாடிக்குகளை எடுத்துக் கொள்ளுங்கள்
Varicose veins,தட்டையாக படுத்து காலை உயரமாக உயர்த்தவும்,களிம்புகள் பயன்படுத்த,நரம்பு சுருக்கத்தைப் பயன்படுத்தவும்,நீண்ட நேரம் நிற்க வேண்டாம்
AIDS,திறந்த வெட்டுக்களை தவிர்க்கவும்,முடிந்தால் ppe அணியுங்கள்,மருத்துவரை அணுகவும்,பின்தொடரவும்
Paralysis (brain hemorrhage),மசாஜ்,ஆரோக்கியமாக சாப்பிடுங்கள்,உடற்பயிற்சி,மருத்துவரை அணுகவும்
Typhoid,அதிக கலோரி கொண்ட காய்கறிகளை சாப்பிடுங்கள்,ஆன்டிபாய்டிக் சிகிச்சை,மருத்துவரை அணுகவும்,மருந்து
Hepatitis B,அருகில் உள்ள மருத்துவமனையை அணுகவும்,தடுப்பூசி,ஆரோக்கியமாக சாப்பிடுங்கள்,மருந்து
